Category,Account Number,Account Name,Description
13Finansielle anleggsmidler,1399,Andre fordringer,"1399 - Andre fordringerAndre fordringer kan føres her. Denne kontoen brukes når nedbetalingstiden er på over ett år, og du kan i motsatt tilfelle bruke konto 1579.Eksempler kan være langsiktige utlån på crowdlending-plattform, konvertibelt utlån, utleieres bokføring av leasingavtaler, depositum som ikke passer på konto 1395."
14Varelager og forskudd til leverandører,1400,Råvarer,"1400 - RåvarerRåvarer ved varetelling ved årslutt, slik at denne kontoen har den riktige verdien på varelager.Eksempler:Beholdningsendring"
14Varelager og forskudd til leverandører,1460,Innkjøpte varer for videresalg,"1460 - Innkjøpte varer for videresalgHer bokfører man justering av varelager på slutten av året, denne kontoen skal ha samme verdi som varetellingslistene.Legg merke til at denne kontoen kun brukes ved slutten av året til varetelling. Kjøp av varer underveis i året bokføres på en innkjøpskonto (for eks4300).Hvis du har varer på lager skal du ha foretatt en varetelling den 31.12.20xx. Det finnes ulike regler for hvordan lagervarer skal verdsettes ut fra hvilke type av lagervarer det er. Du må finne ut hva som gjelder for de varer du har på lager. Hvis det er avvik, bokfører du den mot konto for beholdningsendring4390.Les mer omvaretelling og verdsettelse av lager.Eksempler:Varebeholdning, varelager."
14Varelager og forskudd til leverandører,1480,Forskuddsbetaling til leverandører (varekontrakter/prosjekter),"1480 - Forskuddsbetaling til leverandører (varekontrakter/prosjekter)Forskuddsbetaling vil si å betale for en vare eller tjeneste før denne blir levert.Når man bokfører forskuddsbetaling til leverandører har man to valg som er å registrere det på en egen konto i balansen eller registrere det på den enkelte leverandørs reskontro.Man må også huske på at forskuddsbetaling til leverandører skal oppføres som en eiendel i balansen ved avslutning av regnskapet.Hva er forskuddsbetaling?Eksempler:Forskudd, leverandør, Akonto betaling."
15Kortsiktige fordringer,1500,Kundefordringer,"1500 - KundefordringerDette er reskontrokontoen for kundefordringer. Denne kontoen skal alltid være tilknyttet en kunde, og alle bilag som føres på denne kontoen skal gå mot en kunde.Full oversikt over hvem som skylder deg penger.Hva er kundefordringer?"
15Kortsiktige fordringer,1509,Ikke reskontroførte kundefordringer,1509 - Ikke reskontroførte kundefordringerPå denne kontoen kan man i inngående saldo-bilaget registrere totalsummen på kundefordringer for så å senere splitte totalsummen mot hver enkelt kunde og åpen post.
15Kortsiktige fordringer,1530,Opptjent ikke fakturert driftsinntekt,"1530 - Opptjent ikke fakturert driftsinntektDenne kontoen benyttes til inntekter som er opptjent, men ikke fakturert ved månedsslutt eller i forbindelse med årsavslutningen for å få riktig inntekt i riktig periode."
15Kortsiktige fordringer,1550,Kundefordringer på selskap innen samme konsern,1550 - Kundefordringer på selskap innen samme konsernKundefordringer på selskap som er i samme konsern føres her. Den brukes bare av firmaer som er en del av et konsern.
15Kortsiktige fordringer,1560,Andre fordringer på selskap innen samme konsern,1560 - Andre fordringer på selskap innen samme konsernAndre fordringer på selskap innen samme konsern føres her.
15Kortsiktige fordringer,1570,Reiseforskudd,"1570 - ReiseforskuddUtbetaling av forskudd til ansatte som skal reise i forbindelse med jobben føres her. Når reiseregning er mottatt, så skal den motregnes denne kontoen slik at beløpet blir utlignet.Eksempler:Personal, reise, reiseregning, forskudd."
15Kortsiktige fordringer,1571,Lønnsforskudd,"1571 - LønnsforskuddForskuddlønn som er utbetalt til ansatte føres på denne kontoen. Når forskuddet til trekkes i lønn, blir det ført mot denne kontoen, slik at kontoen går i null."
15Kortsiktige fordringer,1572,Andre kortsiktige lån til ansatte,1572 - Andre kortsiktige lån til ansatteLån til ansatte som er skattefritt. Kravene for skattefritt lån til ansatte er at det blir nedbetalt innen 12 mnd. og ikke er over 1/5 G (grunnbeløpet i folketrygden).
15Kortsiktige fordringer,1573,Andre kortsiktige lån til ansatte (ikke forskudd lønn),"1573 - Andre kortsiktige lån til ansatte (ikke forskudd lønn)Kontoen benyttes hvis den ansatte har lån av firmaet, som er under 1/5 G (grunnbeløpet i folketrygden) og nedbetales innen 12 mnd."
15Kortsiktige fordringer,1574,Kortsiktig lån aksjonær/deltaker,"1574 - Kortsiktig lån aksjonær/deltakerKontoen benyttes hvis en aksjonær eller deltaker har lån av firmaet, som er under 1/5 G (grunnbeløpet i folketrygden) og nedbetales innen 12 mnd."
15Kortsiktige fordringer,1576,Kortsiktige fordringer eiere/styremedl. o.l.,1576 - Kortsiktige fordringer eiere/styremedl. o.l.
15Kortsiktige fordringer,1579,Andre kortsiktige fordringer,"1579 - Andre kortsiktige fordringerAndre kortsiktige fordringer med nedbetalingstid på under ett år føres her, og du kan i motsatt tilfelle bruke konto 1399."
15Kortsiktige fordringer,1580,Avsetning tap på kundefordringer,"1580 - Avsetning tap på kundefordringerAvsetning i tap på fordring inneholder hvor mye av kundefordringene som er i balansen i slutten av året, som selskapet forventer å tape i fremtiden.Endringen av denne balansekontoen, som er differansen mellom inngående balanse og utgående balanse, skal altså legges til resultatkontoen. Dette gjør man for at årsregnskapet skal gi et best mulig bilde av selskapet, siden det hender at ikke alle kundene i fremtiden betaler inn for sitt krav.Avsetningen kan føres slik:Debet7830Konstaterte tap på fordringerog kredit1580Avsetning tap på fordringer.NB:Ingen mva-behandling skal gjøres før tapet er konstatert, så det kan være lurt å opprette egen konto 7831Avsetning tap på fordringermed ingen mva.I denne forbindelsen er det viktig å huske på følgende lovbestemte regler:For at man skal få fradrag på skatten, må kravet være endelig konstatert tapt (for eksempel ved konkurs), jf. Skatteloven § 6-2 (2).Tidligere bokført utgående moms kan korrigeres hvis fordringen er endelig konstatert tapt, jf. Merverdiavgiftsloven § 4-7 (1)."
15Kortsiktige fordringer,1585,Avsetning tap på andre fordringer,1585 - Avsetning tap på andre fordringerHer føres avsetning av tap på andre fordringer (ikke kundefordringer). Det kan eksempelvis være kortsiktig lån til ansatte eller forskuddsbetalt kostnad.
"16Merverdiavgift, opptjente offentlige tilskudd o.l.",1670,Krav på offentlige tilskudd,"1670 - Krav på offentlige tilskuddAvsetning på offentlige tilskudd som er innvilget men ikke utbetalt føres her. Avsetning offentlige tilskudd føres normalt debet1670Krav på offentlige tilskudd, kredit på konto3400Spesielle offentlige tilskudd eller3440Offentlige tilskudd for tjenester.Når innbetalingen kommer kan det føres slik: debet1920bankinnskudd kredit1670Krav på offentlige tilskudd.EksemplerTilskudd fra Innovasjon Norge, Skattefunn, lærlingtilskudd."
"17Forskuddsbetalt kostnad, påløpt inntekt o.l.",1700,Forskuddsbetalt leiekostnad,"1700 - Forskuddsbetalt leiekostnadForskuddsbetaler du leiekostnader skal det først føres mot denne kontoen for så å periodiseres over leieperioden. For eksempel betaling av husleie eller leie av lokaler i november, for periode som går over årsskiftet.Eksempler:Husleie, periodisering, leie, leasing, prepaid, forskudd."
"17Forskuddsbetalt kostnad, påløpt inntekt o.l.",1710,Forskuddsbetalt rentekostnad,"1710 - Forskuddsbetalt rentekostnadKontoen benyttes ved avsetning på rentekostnader, der rentebelastningen/betalingen kommer måneden/året etter den reelle kostnaden.Eksempler:Rente, renter, avsetning, forskudd."
"17Forskuddsbetalt kostnad, påløpt inntekt o.l.",1740,Forskuddsbetalt ikke påløpt lønn,"1740 - Forskuddsbetalt ikke påløpt lønnHer bokføres lønnsutbetaling, der kostnaden ikke er ført i den aktuelle perioden som en avsetning av kostnaden.Eksempler:Avsetning lønn, forskuddsbetalt lønn, forskudd."
"17Forskuddsbetalt kostnad, påløpt inntekt o.l.",1749,Andre forskuddsbetalte kostnader,"1749 - Andre forskuddsbetalte kostnaderDenne kontoen brukes til å registrere at du har forskuddsbetalt en kostnad men selve kostnaden blir bokført i den måneden den oppstår.Hva er periodisering?Eksempler: Løpende avtaler, abonnement, månedskort, forskudd."
"17Forskuddsbetalt kostnad, påløpt inntekt o.l.",1750,Påløpt leieinntekt,"1750 - Påløpt leieinntektHer føres opptjent leieinntekt som ikke er fakturert pr. eks. 31.12.Føringen kan se slik ut:Debet 1750 Påløpt leieinntektKredit inntektskonto for leieinntekter (36xx).PS: Det skal ikke føres mva på denne kontoen, det gjøres eventuelt på 36xx-kontoen.EksemplerUtleie av eiendom som faktureres på etterskudd."
"17Forskuddsbetalt kostnad, påløpt inntekt o.l.",1760,Påløpt ikke forfalt renteinntekt,1760 - Påløpt ikke forfalt renteinntektAvsetning på renter som ikke er ført i perioden.
"17Forskuddsbetalt kostnad, påløpt inntekt o.l.",1770,Andre periodiseringer,1770 - Andre periodiseringer
18Kortsiktige finansinvesteringer,1800,"Aksjer i annet selskap i samme konsern, norske","1800 - Aksjer i annet selskap i samme konsern, norskeHer føres aksjer og relaterte omkostninger i norske selskaper i samme konsern, hvis eierandelen er på under 20%, og det er en kortsiktig investering."
18Kortsiktige finansinvesteringer,1810,"Børsnoterte aksjer, norske","1810 - Børsnoterte aksjer, norskeBørsnoterte norske aksjer føres her.Kjøp og salg av børsnoterte aksjer er ofte kortsiktige investeringer i aksjer og føres derfor på konto 18xx.I enkeltpersonforetak er det mer normalt å føre dette i personlig skattemelding og ikke i regnskapet."
18Kortsiktige finansinvesteringer,1820,"Andre aksjer, norske","1820 - Andre aksjer, norskeHer føres kortsiktige investeringer og relaterte omkostninger i norske aksjer som ikke er markedsbaserte."
18Kortsiktige finansinvesteringer,1830,"Markedsbaserte obligasjoner, norske","1830 - Markedsbaserte obligasjoner, norskeHer føres markedsbaserte obligasjoner i Norge.Hva er en obligasjon?"
18Kortsiktige finansinvesteringer,1840,"Andre obligasjoner, norske","1840 - Andre obligasjoner, norskeHer føres kjøp av andre norske obligasjoner og sertifikater som ikke passer inn i andre kontoer i 186x-serien.Hva er en obligasjon?"
18Kortsiktige finansinvesteringer,1850,"Markedsbaserte sertifikater, norske","1850 - Markedsbaserte sertifikater, norskeHer føres markedsbaserte sertifikater i Norge."
18Kortsiktige finansinvesteringer,1870,"Markedsbaserte opsjoner, norske","1870 - Markedsbaserte opsjoner, norskeHer føres markedsbaserte opsjoner i Norge."
"19Kontanter, bankinnskudd o.l.",1900,Kontanter,"1900 - KontanterDette er kontoen for kontanter, ""cash"" i kassa.Kassebeholdningen forklarer mengden av faktiske kontanter som virksomheten er i besittelse av på et bestemt tidspunkt.Alle transaksjoner i kontanter skal føres, og kontantbeholdningen skal jevnlig telles opp, og sjekkes mot saldoen på denne kontoen. Har bedriften en kassekonto, så skal man jevnlig gjøre kasseoppgjør.Hva er en kassebeholdning?"
"19Kontanter, bankinnskudd o.l.",1905,Kontanter Euro,"1905 - Kontanter EuroDette er kontoen for kontanter, ""cash"" Euro du har i kassa.Kassebeholdningen forklarer mengden av faktiske kontanter som virksomheten er i besittelse av på et bestemt tidspunkt.Alle transaksjoner i kontanter skal føres, og kontantbeholdningen skal jevnlig telles opp, og sjekkes mot saldoen på denne kontoen. Har bedriften en kasse med kontantbeholdning, så skal man jevnlig gjøre kasseoppgjør.Hva er kassebeholdning?"
"19Kontanter, bankinnskudd o.l.",1908,Kontanter annen valuta,"1908 - Kontanter annen valutaDette er kontoen for kontanter, ""cash"" annen valuta (dollar, pund, osv.) du har i kassa.Kassebeholdningen forklarer mengden av faktiske kontanter som virksomheten er i besittelse av på et bestemt tidspunkt.Alle transaksjoner i kontanter skal føres, og kontantbeholdningen skal jevnlig telles opp, og sjekkes mot saldoen på denne kontoen. Har bedriften en kasse med kontantbeholdning, så skal man jevnlig gjøre kasseoppgjør.Hva er kassebeholdning?"
"19Kontanter, bankinnskudd o.l.",1920,Bankinnskudd,"1920 - BankinnskuddDenne kontoen benyttes for din driftskonto, der de fleste inn- og utbetalinger føres. Saldoen på denne kontoen skal stemme overens med saldoen i nettbanken, og bør jevnlig avstemmes.Vi anbefaler å endre navnet på denne kontoen til eks. Bank 1234.56.78988 eller Nordea 1234.56.78988. Har du flere bankkontoer vil det være enklere å se at du fører på korrekt konto.Har du flere bankkontoer bør du opprette en egen 192x/193x-konto for disse.Hva er en bankavstemming?"
"19Kontanter, bankinnskudd o.l.",1921,Bankinnskudd 2,"1921 - Bankinnskudd 2Hvis du har flere bankkontoer er dette bankkonto nr. to.Kontoen brukes til å bokføre alle inn- og utbetalinger på bedriftens bankkonto. Saldoen på denne kontoen skal stemme overens med saldoen i nettbanken, og bør jevnlig avstemmes.Les mer om bankavstemming."
"19Kontanter, bankinnskudd o.l.",1940,Bankinnskudd utland,"1940 - Bankinnskudd utlandDenne kontoen benytter du til utenlandske kontoer, eks Euro-konto i en bank i et annet land eller i norsk bank.Har du flere valutakontoer kan du opprette flere kontoer i 194x serien. Saldoen på denne kontoen skal stemme overens med saldoen i nettbanken, og bør jevnlig avstemmes.Les mer om bankavstemming."
"19Kontanter, bankinnskudd o.l.",1950,Bankinnskudd for skattetrekk,"1950 - Bankinnskudd for skattetrekkDette er kontoen for skattetrekk. Når man kjører lønn, så skal skyldig forskuddstrekk overføres til denne kontoen. Når skatteterminen forfaller, betales skattetrekket fra denne kontoen til kemneren.Saldoen på denne kontoen skal stemme overens med saldoen i nettbanken, og bør jevnlig avstemmes. Beløpet som betales ut til kemneren hver termin skal stemme med forskuddstrekket iA-meldingenfor samme termin.Eksempler:Skattetrekk, bankinnskudd, utbetaling, forskuddstrekk, skattetrekkskontoHva er bankavstemming?"
20Egenkapital,2000,Egenkapital bundet,"2000 - Egenkapital bundetNår man stifter et aksjeselskap bruker man denne kontoen for innbetaling av aksjekapital, og det må minst være på kr. 30.000,-. Det er lett å forveksle denne kontoen med2050Annen egenkapital. Den kontoen benyttes når man gjennomfører årsavslutning , firmaets overskudd/underskudd overføres til annen egenkapital (konto 2050).Eksempel på føring av resultatet:For enkeltpersonforetak(DA og forening kan bruke den samme)Overskudd skal føres D8800og K2050Underskudd skal føres D2050og K8800For AksjeselskapOverskudd skal føres D8960K2050Underskudd skal føres D2080og K8990Til slutt skriv ut Balanserapport og Resultatrapport på nytt og kontroller dem."
20Egenkapital,2010,Egne aksjer,2010 - Egne aksjerEgne aksjer føres her.Hva er en aksje?
20Egenkapital,2020,Overkurs,2020 - OverkursSmå foretak benytter ikke denne kontoen ofte.Dersom det er en forskjell mellom aksjekursen ved oppstart av selskapet og dagens aksjekurs i firmaet kan man bruke denne kontoen.Overkurs anses som fri egenkapital. Det vil si at man for eksempel kan ta dette ut av selskapet som utbytte senere.
20Egenkapital,2030,Annen innskutt egenkapital,2030 - Annen innskutt egenkapitalAksjekapitalen som er registrert i foretaksregisteret skal alltid ha samme beløp på denne kontoen.
20Egenkapital,2050,Annen egenkapital,"2050 - Annen egenkapitalEgenkapital er den delen av kapitalen som eierne i virksomheten har skutt inn selv, og/eller er opptjent gjennom drift og reinvestert i bedriften.Egenkapital kan også beskrives som en virksomhets eiendeler minus gjeld. Egenkapital består av innskutt og opptjent egenkapital som blir oppgjort hvert år i forbindelse med årsregnskapet. Dette vil si at i slutten av hvert år setter man opp hvor stor egenkapitalen er, som kan sammenliknes med året før.Eksempel på føring av resultatet:For enkeltpersonforetak(DA og forening kan bruke den samme)Overskudd skal føres D8800og K2050Underskudd skal føres D2050og K8800For AksjeselskapOverskudd skal føres D8960K2050.Underskudd skal føres D2080og K8990Til slutt skriv ut Balanserapport og Resultatrapport på nytt og kontroller dem.Les mer om egenkapital."
20Egenkapital,2052,Ikke fradragsberettigede kontigenter/gaver,2052 - Ikke fradragsberettigede kontigenter/gaverGaver til forretningsforbindelser eller deres familier er i utgangspunktet ikke fradragsberettiget for giveren.
20Egenkapital,2060,Privatuttak,"2060 - PrivatuttakPrivat uttak av kontanter/overføring i bank fra firma til privatbankkonto i et enkeltpersonforetak. Mange bruker206x-kontoserien som mellomregningskontoer i et enkeltpersonsforetak.Når du i et enkeltpersonforetak skal gjøre et privatuttak (å betrakte det som lønn), kan føringen se se slik ut:Kredit1920eller 1930 (Benytt bedriftskontoen i regnskapet)Debet2060PrivatuttakKjøper du eller legger ut for noe privat kan føringen bli:Kredit2060Debet kostnadskonto (Eks.6800hvis du kjøper kontorutstyr)Eksempler:Overføre til seg selv, lønn enkeltpersonsforetak, privat utlegg, lagt ut privat, kontantuttakAndre relevante artikler:Fordeler og ulemper med enkeltpersonforetak"
20Egenkapital,2064,Uttak varer og tjenester,2064 - Uttak varer og tjenesterUttak varer og tjenester føres her. Et eksempel er giveaways på stand.
20Egenkapital,2068,Private kostnader til elektronisk kommunikasjon,"2068 - Private kostnader til elektronisk kommunikasjonHer føres privat bruk av elektronisk kommunikasjon for ENK. Man skal føre på denne kontoen, da man ikke får fradrag på skatten for privat bruk."
20Egenkapital,2072,Skatter,"2072 - SkatterForskuddsskatt for enkeltpersonforetak.Har du et enkeltpersonforetak skal du betale forskuddsskatt, beløpet du skal betale baserer seg på det du forventer av overskudd ved årsslutt. Dette er inntekter du ikke automatisk blir trukket skatt for, og må derfor søke om dette (unngå å sitte igjen med en meget høy restskatt pga. manglende betaling av forskuddsskatt).Vanligvis fordeles denne summen seg over fire regninger i løpet av året.Søk eller endre forskuddsskatt viaskatteetaten sine sider."
20Egenkapital,2075,Privat bruk av næringsbil,2075 - Privat bruk av næringsbilUtgifter et ENK har i forbindelse med privat bruk av næringsbil bokføres på denne kontoen. Dette gjelder bare hvis kjørelengde er mer enn 6000 km/året.Siden kjørelengden er så høy vil det være mest vanlig å benytte kilometergodtgjørelse ved bruk av næringsbil.
20Egenkapital,2077,Premie til egen syke- og ulykkesforsikring,2077 - Premie til egen syke- og ulykkesforsikring
20Egenkapital,2078,Premie til tilleggstrygd for sykepenger,2078 - Premie til tilleggstrygd for sykepenger
20Egenkapital,2080,Udekket tap,2080 - Udekket tapDenne kontoen brukes hvis et underskudd/negativ opptjent egenkapital er større enn beløpet som står på konto2050. I så fall føres resterende beløp her etter at2050er i null.
21Avsetning for forpliktelser,2100,Pensjonsforpliktelser,2100 - PensjonsforpliktelserKontoen brukes veldig lite da de aller fleste benytter seg av innskuddsbasert pensjonsordning. Da er det banken eller forsikringsselskapet som står for de fremtidige pensjonsutbetalingene.
